time_s,total_packets,bytes_in_flight_avg,bytes_in_flight_max,throughput_bps,sack_count,window_size,retransmissions,dupacks,ooo_packets,zero_window_probes,mss_avg,data_bytes,goodput_bps,retrans_rate_pct,ooo_rate_pct,avg_window
293,67,40206.58208955224,40206.58208955224,580.6802721088435,0,0,0,0,0,67,1460,21340,580.6802721088435,0.0,0.0,0.0
294,20,7464.9,7464.9,289.89830508474574,0,0,0,0,0,20,1460,10690,289.89830508474574,0.0,0.0,0.0
295,32,27699.375,27699.375,143.02702702702703,1,0,0,0,0,32,1460,5292,143.02702702702703,0.0,0.0,0.0
296,26,41966.346153846156,41966.346153846156,29.602693602693602,0,0,0,0,0,26,1460,1099,29.602693602693602,0.0,0.0,0.0
297,32,39223.96875,39223.96875,30.25503355704698,0,0,0,0,0,32,1460,1127,30.25503355704698,0.0,0.0,0.0
298,34,39707.26470588235,39707.26470588235,33.57859531772575,0,0,0,0,0,34,1460,1255,33.57859531772575,0.0,0.0,0.0
299,33,39217.757575757576,39217.757575757576,31.386666666666667,0,0,0,0,0,33,1460,1177,31.386666666666667,0.0,0.0,0.0
300,32,41050.6875,41050.6875,30.72425249169435,0,0,0,0,0,32,1460,1156,30.72425249169435,0.0,0.0,0.0
301,32,44135.375,44135.375,31.735099337748345,0,0,0,0,0,32,1460,1198,31.735099337748345,0.0,0.0,0.0
302,30,45136.2,45136.2,31.181518151815183,0,0,0,0,0,30,1460,1181,31.181518151815183,0.0,0.0,0.0
303,35,37046.25714285715,37046.25714285715,30.42105263157895,1,0,0,0,0,35,1460,1156,30.42105263157895,0.0,0.0,0.0
304,38,41036.65789473684,41036.65789473684,33.442622950819676,1,0,0,0,0,38,1460,1275,33.442622950819676,0.0,0.0,0.0
305,34,41634.470588235294,41634.470588235294,30.326797385620914,1,0,0,0,0,34,1460,1160,30.326797385620914,0.0,0.0,0.0
306,34,42126.91176470588,42126.91176470588,30.462540716612377,0,0,0,0,0,34,1460,1169,30.462540716612377,0.0,0.0,0.0
307,35,41553.25714285715,41553.25714285715,29.454545454545453,1,0,0,0,0,35,1460,1134,29.454545454545453,0.0,0.0,0.0
308,37,41271.37837837838,41271.37837837838,31.48220064724919,1,0,0,0,0,37,1460,1216,31.48220064724919,0.0,0.0,0.0
309,38,43834.47368421053,43834.47368421053,34.090322580645164,0,0,0,0,0,38,1460,1321,34.090322580645164,0.0,0.0,0.0
310,32,47216.40625,47216.40625,30.919614147909968,0,0,0,0,0,32,1460,1202,30.919614147909968,0.0,0.0,0.0
311,28,44967.642857142855,44967.642857142855,26.666666666666668,0,0,0,0,0,28,1460,1040,26.666666666666668,0.0,0.0,0.0
312,30,51613.86666666667,51613.86666666667,29.776357827476037,0,0,0,0,0,30,1460,1165,29.776357827476037,0.0,0.0,0.0
313,32,51881.34375,51881.34375,30.089171974522294,0,0,0,0,0,32,1460,1181,30.089171974522294,0.0,0.0,0.0
314,33,50908.15151515151,50908.15151515151,31.72063492063492,0,0,0,0,0,33,1460,1249,31.72063492063492,0.0,0.0,0.0
315,31,51823.32258064516,51823.32258064516,28.632911392405063,0,0,0,0,0,31,1460,1131,28.632911392405063,0.0,0.0,0.0
316,30,54205.8,54205.8,30.28391167192429,0,0,0,0,0,30,1460,1200,30.28391167192429,0.0,0.0,0.0
317,31,53095.096774193546,53095.096774193546,34.64150943396226,0,0,0,0,0,31,1460,1377,34.64150943396226,0.0,0.0,0.0
318,462,46749.99134199134,46749.99134199134,12884.313479623825,2,0,61,29,13,462,1460,513762,12884.313479623825,13.203463203463203,2.813852813852814,0.0
319,102,68649.32352941176,68649.32352941176,758.2,0,0,2,0,0,102,1460,30328,758.2,1.9607843137254901,0.0,0.0
320,561,243079.1247771836,243079.1247771836,17552.32398753894,1,0,53,35,1,561,1460,704287,17552.32398753894,9.44741532976827,0.17825311942959002,0.0
321,311,362412.5723472669,362412.5723472669,9486.360248447205,1,0,26,14,0,311,1460,381826,9486.360248447205,8.360128617363344,0.0,0.0
322,271,490760.73800738005,490760.73800738005,6977.733746130031,1,0,25,16,1,271,1460,281726,6977.733746130031,9.22509225092251,0.36900369003690037,0.0
323,378,606979.4312169312,606979.4312169312,12002.543209876543,1,0,40,31,2,378,1460,486103,12002.543209876543,10.582010582010582,0.5291005291005291,0.0
324,448,747451.59375,747451.59375,12578.904615384616,1,0,46,30,0,448,1460,511018,12578.904615384616,10.267857142857142,0.0,0.0
325,314,809304.1305732484,809304.1305732484,8675.65644171779,1,0,25,15,0,314,1460,353533,8675.65644171779,7.961783439490445,0.0,0.0
326,388,936763.9536082475,936763.9536082475,11299.59633027523,1,0,34,21,1,388,1460,461871,11299.59633027523,8.762886597938143,0.25773195876288657,0.0
327,369,1162022.7588075881,1162022.7588075881,10042.146341463415,1,0,39,29,1,369,1460,411728,10042.146341463415,10.569105691056912,0.27100271002710025,0.0
328,397,1334183.8664987406,1334183.8664987406,11533.130699088146,1,0,41,20,1,397,1460,474300,11533.130699088146,10.327455919395465,0.2518891687657431,0.0
329,147,1083633.4353741496,1083633.4353741496,3930.4242424242425,1,0,12,5,1,147,1460,162130,3930.4242424242425,8.16326530612245,0.6802721088435374,0.0
330,175,1200992.04,1200992.04,4578.561933534743,1,0,15,11,0,175,1460,189438,4578.561933534743,8.571428571428571,0.0,0.0
331,38,1500379.4473684211,1500379.4473684211,99.32530120481928,0,0,0,0,0,38,1460,4122,99.32530120481928,0.0,0.0,0.0
332,31,1712390.9677419355,1712390.9677419355,27.57957957957958,0,0,0,0,0,31,1460,1148,27.57957957957958,0.0,0.0,0.0
333,28,818806.6785714285,818806.6785714285,207.2574850299401,0,0,0,0,0,28,1460,8653,207.2574850299401,0.0,0.0,0.0
334,4,957571.75,957571.75,40.167164179104475,0,0,0,0,0,4,1460,1682,40.167164179104475,0.0,0.0,0.0
335,5,1515980.8,1515980.8,28.761904761904763,1,0,1,1,0,5,1460,1208,28.761904761904763,20.0,0.0,0.0
337,11,11096.545454545454,11096.545454545454,105.30177514792899,0,0,0,0,0,11,1460,4449,105.30177514792899,0.0,0.0,0.0
338,32,475593.5625,475593.5625,164.20058997050148,0,0,0,0,0,32,1460,6958,164.20058997050148,0.0,0.0,0.0
339,3,1262915.6666666667,1262915.6666666667,13.129411764705882,0,0,0,0,0,3,1460,558,13.129411764705882,0.0,0.0,0.0
340,41,654340.2926829269,654340.2926829269,363.2844574780059,1,0,0,0,0,41,1460,15485,363.2844574780059,0.0,0.0,0.0
341,17,462211.17647058825,462211.17647058825,150.92397660818713,0,0,0,0,0,17,1460,6452,150.92397660818713,0.0,0.0,0.0
342,31,1712621.935483871,1712621.935483871,47.673469387755105,0,0,0,0,0,31,1460,2044,47.673469387755105,0.0,0.0,0.0
343,25,1515052.08,1515052.08,28.186046511627907,0,0,0,0,0,25,1460,1212,28.186046511627907,0.0,0.0,0.0
344,31,1832271.0,1832271.0,25.507246376811594,0,0,0,0,0,31,1460,1100,25.507246376811594,0.0,0.0,0.0
345,32,1656185.59375,1656185.59375,26.612716763005782,0,0,0,0,0,32,1460,1151,26.612716763005782,0.0,0.0,0.0
346,43,1411495.0,1411495.0,181.14121037463977,0,0,0,0,0,43,1460,7857,181.14121037463977,0.0,0.0,0.0
347,34,1781884.5588235294,1781884.5588235294,49.42528735632184,0,0,0,0,0,34,1460,2150,49.42528735632184,0.0,0.0,0.0
348,30,1386931.2666666666,1386931.2666666666,27.57593123209169,1,0,0,0,0,30,1460,1203,27.57593123209169,0.0,0.0,0.0
349,35,1296442.9142857143,1296442.9142857143,29.622857142857143,1,0,0,0,0,35,1460,1296,29.622857142857143,0.0,0.0,0.0
350,34,1667663.1470588236,1667663.1470588236,28.034188034188034,1,0,0,0,0,34,1460,1230,28.034188034188034,0.0,0.0,0.0
351,33,1832084.1515151516,1832084.1515151516,26.272727272727273,0,0,0,0,0,33,1460,1156,26.272727272727273,0.0,0.0,0.0
352,33,1716993.9090909092,1716993.9090909092,29.099150141643058,0,0,0,0,0,33,1460,1284,29.099150141643058,0.0,0.0,0.0
353,34,1667493.794117647,1667493.794117647,27.887005649717516,1,0,0,0,0,34,1460,1234,27.887005649717516,0.0,0.0,0.0
354,27,1398169.3703703703,1398169.3703703703,26.32112676056338,0,0,0,0,0,27,1460,1168,26.32112676056338,0.0,0.0,0.0
355,31,1704338.7096774194,1704338.7096774194,26.89887640449438,0,0,0,0,0,31,1460,1197,26.89887640449438,0.0,0.0,0.0
356,33,1600539.303030303,1600539.303030303,40.42577030812325,0,0,0,0,0,33,1460,1804,40.42577030812325,0.0,0.0,0.0
357,30,1634171.3666666667,1634171.3666666667,27.39664804469274,0,0,0,0,0,30,1460,1226,27.39664804469274,0.0,0.0,0.0
358,33,1713603.0606060605,1713603.0606060605,28.144846796657383,0,0,0,0,0,33,1460,1263,28.144846796657383,0.0,0.0,0.0
359,29,1819424.551724138,1819424.551724138,23.6,0,0,0,0,0,29,1460,1062,23.6,0.0,0.0,0.0
360,30,1632667.4,1632667.4,26.21606648199446,0,0,0,0,0,30,1460,1183,26.21606648199446,0.0,0.0,0.0
361,34,1883278.0294117648,1883278.0294117648,26.497237569060772,0,0,0,0,0,34,1460,1199,26.497237569060772,0.0,0.0,0.0
362,31,1821990.9032258065,1821990.9032258065,22.898071625344354,0,0,0,0,0,31,1460,1039,22.898071625344354,0.0,0.0,0.0
363,34,1660664.3529411764,1660664.3529411764,28.98901098901099,0,0,0,0,0,34,1460,1319,28.98901098901099,0.0,0.0,0.0
364,32,1530171.59375,1530171.59375,23.495890410958904,0,0,0,0,0,32,1460,1072,23.495890410958904,0.0,0.0,0.0
365,29,1556686.0,1556686.0,28.218579234972676,0,0,0,0,0,29,1460,1291,28.218579234972676,0.0,0.0,0.0
366,31,1698431.6129032257,1698431.6129032257,23.280653950953678,0,0,0,0,0,31,1460,1068,23.280653950953678,0.0,0.0,0.0
367,32,1762388.4375,1762388.4375,25.456521739130434,0,0,0,0,0,32,1460,1171,25.456521739130434,0.0,0.0,0.0
368,31,1697440.2580645161,1697440.2580645161,25.907859078590786,0,0,0,0,0,31,1460,1195,25.907859078590786,0.0,0.0,0.0
369,46,1150233.152173913,1150233.152173913,39.61081081081081,1,0,0,0,0,46,1460,1832,39.61081081081081,0.0,0.0,0.0
370,33,1707358.7272727273,1707358.7272727273,24.90566037735849,0,0,0,0,0,33,1460,1155,24.90566037735849,0.0,0.0,0.0
371,27,1529899.7777777778,1529899.7777777778,24.107526881720432,0,0,0,0,0,27,1460,1121,24.107526881720432,0.0,0.0,0.0
372,34,1657452.6470588236,1657452.6470588236,24.386058981233244,1,0,0,0,0,34,1460,1137,24.386058981233244,0.0,0.0,0.0
373,33,1705806.2121212122,1705806.2121212122,26.93048128342246,0,0,0,0,0,33,1460,1259,26.93048128342246,0.0,0.0,0.0
374,32,1641334.8125,1641334.8125,26.56,0,0,0,0,0,32,1460,1245,26.56,0.0,0.0,0.0
